region,year,total energy production,total energy production from coal,total energy production from natural gas,total energy production from petroleum and other liquids,"total energy production from nuclear, renewables and other",total energy production from nuclear,total energy production from renewables and other,CO2 emissions,coal and coke CO2 emissions,consumed natural gas CO2 emissions,petroleum and other liquids CO2 emissions,population,gdp,energy_per_gdp,energy_per_capita
Thailand,2015,2.5911141871018164,0.1611486762629272,1.37383069859,0.8960008333097009,0.1601339789391881,0.0,0.1601339789391881,295.714608892,60.99668583094287,97.290960441,137.42696262,70540795.0,401296238228.084,4.522192545792126,72.40407166477988
Thailand,2016,2.713383992431736,0.1798643325886208,1.3518871328216,0.92008274796278,0.2615497790587353,0.0,0.2615497790587353,294.157864391,56.38139958989351,95.134530581,142.64193422,70859841.0,413366349747.508,4.481299085831541,73.87987794293082
Thailand,2017,2.659367742485127,0.1722373293633436,1.3318066999958,0.8970362903847268,0.2582874227412568,0.0,0.2582874227412568,300.612913677,59.56742163714105,96.340886504,144.70460553536927,71160187.0,456356813536.764,4.393276747489363,75.13606808351705
Thailand,2018,2.610248872116654,0.1573359941497062,1.298608328512,0.8719548022492964,0.2823497472056511,0.0,0.2823497472056511,303.831171218,57.11033646435439,98.579905154,148.14092959941294,71376079.0,506754208404.485,4.280856687634983,76.07436542993764
Thailand,2019,2.653971095000513,0.1491365557257988,1.322090758969,0.8676916621658524,0.3150521181398623,0.0,0.3150521181398623,317.569879779,58.78013644699308,102.987724832,155.8020185,71522271.0,543976691793.886,4.305462157346797,77.96979411373219
Thailand,2020,2.414184611031765,0.140375657048058,1.188820449747,0.7999444088991268,0.2850440953375802,0.0,0.2850440953375802,293.470140982,61.365745454216814,91.152970628,140.9514249,71641484.0,500461898480.246,4.231276835224654,71.87062681782481
Thailand,2021,2.338462711286991,0.1506575091790749,1.171437382417,0.7294939187295805,0.2868739009613354,0.0,0.2868739009613354,287.953916967,58.11652664110551,91.262652226,138.5747381,71727332.0,506194668789.937,4.154326476401229,71.57307565220049
Thailand,2022,2.171182293134592,0.1680267245871888,1.062564456336,0.6427200510069401,0.2978710612044627,0.0,0.2978710612044627,302.769602727,63.30914320458049,89.511418022,149.9490415,71735329.0,495644697587.661,4.137857026622894,73.12069488163581
Thailand,2023,2.1177102610239165,0.1653472623917178,1.021750940811,0.6174117694028934,0.3132002884183051,0.0,0.3132002884183051,336.692583354,79.92788200652298,95.833701347,160.931,71702435.0,515906283940.933,4.468960057067674,80.60209955006108
Turkiye,1992,0.5560706337250197,0.4584113840390943,0.00718815636,0.0,0.0904710933259253,0.0,0.0904710933259253,136.051073938,60.89823399692237,8.925823941,66.227016,57990118.0,159104772991.851,2.449428868313949,32.8912082947138
Turkiye,1993,0.5556115083657325,0.4328217769232257,0.007260764,0.0,0.1155289674425067,0.0,0.1155289674425067,142.547810202,57.33439886829606,9.919722334,75.293689,58999167.0,180415757851.616,2.457922099954923,34.92291094065633
Turkiye,1994,0.5959558032459495,0.4846159973865878,0.00722446018,0.0,0.1041153456793617,0.0,0.1041153456793617,144.564046333,61.31784173523737,10.489865598,72.756339,60033836.0,130650447499.071,2.564036084837827,34.13141144829361
